BridgeFailureLikelihood,LRPName,Latitude,Longitude,NumberOfABridges,NumberOfBBridges,NumberOfCBridges,NumberOfDBridges,TotalEconomicVulnerability,TotalSocialVulnerability,TotalTraffic,TrafficEconomicVulnerability,TrafficSocialVulnerability,chainage,road
0.990146078,LRP080a,23.29545797,90.00145744,0,0,1,0,7228.06637,37531.98216,41728,7300,37905.5,79.25,N8
0.990146078,LRP116d,23.07161015,90.21108741,1,0,0,0,6782.500635,31255.44617,37630,6850,31566.5,115.125,N8
0.990146078,LRP154a,22.77862075,90.30461838,1,0,0,0,5339.362726,25198.72261,30842,5392.5,25449.5,152.597,N8
0.990146078,LRP198a,22.43149666,90.33499394,1,0,0,0,7119.150301,33598.29682,41122.66667,7190,33932.66667,196.664,N8
0.990146078,LRP200c,22.41005791,90.32672337,1,0,0,0,3767.505827,29855.87469,33958,3805,30153,199.222,N8
1,LRPsb,23.60273408,89.82893608,1,0,0,0,5860,8208,14068,5860,8208,4.726,N803
1,LRPSb,23.3936663,89.9814438,1,0,0,0,6432.5,23266,29698.5,6432.5,23266,31.125,N804
0.985219117,LRPSa,23.39179609,89.97454878,1,0,0,0,4423.633836,19198.47232,23976.5,4490,19486.5,19.701,N805
0.985219117,LRP045b,23.1803714,89.77565547,1,0,0,0,5295.552754,19198.47232,23976.5,5375,19486.5,45.742,N805
0.985219117,LRP073a,22.98219126,89.82576384,1,0,0,0,5295.552754,16434.44009,19668.5,5375,16681,73.763,N805
0.985219117,LRP079a,22.93628349,89.809769,1,0,0,0,2943.342112,16434.44009,19668.5,2987.5,16681,79.403,N805
1,LRP001a,23.2045158,89.69847862,1,0,0,0,972.5,7394.5,8367,972.5,7394.5,1.685,N806
1,LRP004a,23.56884702,89.84354062,1,0,0,0,6190,17015.5,23205.5,6190,17015.5,4.5,N808
0.998559809,LRPSa,22.68468319,90.35898926,0,1,0,0,2216.802775,3302.237287,4364.5,2220,3307,63.772,N809
0.998559809,LRP066d,22.9323042,90.81062263,0,1,0,0,1173.307775,1973.653462,3151.5,1175,1976.5,66.153,N809
1,LRP016a,23.6325326,90.51238237,0,0,1,0,16475,99133,115608,16475,99133,17.377,R110
1,LRPSb,23.68867466,90.48147053,0,1,0,0,9630,37322.25,46952.25,9630,37322.25,2.839,R111
1,LRPSa,23.68414713,90.54315295,0,0,1,0,3030,6935,9965,3030,6935,11.156,R113
0.999963042,LRP040d,23.96330052,90.81351966,0,1,0,0,6244.769194,16967.37289,23213,6245,16968,39.59,R114
0.999963042,LRP047a,23.97783333,90.81425,0,0,1,0,3122.384597,8483.686445,11606.5,3122.5,8484,46.374,R114
0.99999962,LRP051b,23.25090798,90.81241541,0,1,0,0,8949.996601,45928.64922,53932,8950,45928.66667,51.446,R140
0.99999962,LRP100a,22.99451264,90.77334513,0,0,1,0,8003.330294,45928.64922,53932,8003.333333,45928.66667,99.912,R140
0.99999962,LRP137a,22.94489077,91.08548979,0,1,0,0,3844.99854,22007.99164,25853,3845,22008,136.659,R140
0.999968391,LRPSa,23.35444956,91.1469179,1,0,0,0,8623.060757,36632.84203,45257.33333,8623.333333,36634,37.851,R141
0.999968391,LRP038a,23.03607709,91.09935404,1,0,0,0,8623.060757,36632.84203,45257.33333,8623.333333,36634,37.909,R141
1,LRPSa,22.94814322,91.10475,0,0,1,0,4915,21514,26429,4915,21514,37.49,R142
1,LRPSa,22.88397293,91.09540903,0,1,0,0,1665,10054,11719,1665,10054,20.234,R143
0.999998701,LRP036e,22.78739984,91.72179311,0,1,0,0,5099.993373,8262.489264,12720,5100,8262.5,34.516,R151
0.999998701,LRP050a,22.7098675,91.78123576,0,1,0,0,5099.993373,7616.990103,12717,5100,7617,47.054,R151
1,LRPSa,22.89294807,91.67564416,0,0,1,0,0,0,0,0,0,14.855,R152
0.997693092,LRPSa,22.50126252,91.80705604,1,0,0,0,4437.240026,16360.17132,20845.5,4447.5,16398,22.7,R160
0.997693092,LRP071a,23.03612204,91.87200109,1,0,0,0,4437.240026,16360.17132,20845.5,4447.5,16398,69.906,R160
0.997693092,LRP090b,23.10961387,91.97259256,1,0,0,0,1411.735725,4697.637923,6123.5,1415,4708.5,88.818,R160
0.999639952,LRP049a,22.25808914,92.15522341,0,1,0,0,1319.524737,5864.554386,7186.666667,1320,5866.666667,48.799,R161
0.999639952,LRP060b,22.19812823,92.21735391,0,0,1,0,1319.524737,5864.554386,7186.666667,1320,5866.666667,60.543,R161
1,LRP063a,23.09225615,91.97353377,1,0,0,0,2130,6065,8195,2130,6065,61.147,R162
1,LRPSc,22.40233032,91.86745229,0,0,1,0,2343.333333,16692.66667,19036,2343.333333,16692.66667,30.101,R163
1,LRPSc,22.50544364,92.14090545,1,0,0,0,612.5,5407.5,6020,612.5,5407.5,7.913,R164
0.999995837,LRPSa,22.28923195,91.97833219,1,0,0,0,1789.992549,14792.43843,16210,1790,14792.5,29.914,R170
