road,linkNo,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
Z1030,Z1030-1,Elahiganj-Biroli(Int.with Z1444),LRPS,0.0,0.0,LRPS,9875.0,9.875,9.875,0.0,31.0,51.0,0.0,2.0,18.0,0.0,2.0,1283.0,221.0,151.0,181.0,0.0,1608.0,332.0,1940.0
Z1030,Z1030-2,Biroli(Int.with Z1444)-Int.with Z1443,LRPS,9875.0,9.875,LRP017,977.0,17.672,7.797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1030,Z1030-3,Int.with Z1443-Tulatali,LRP017,977.0,17.672,LRPE,0.0,22.73,5.058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-1,Feni (Md. Ali Bazar)-Fathipur (Int.with N1),LRPS,0.0,0.0,LRPS,1390.0,1.39,1.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-2,Fathipur (Int.with N1)-Salauddin School More(int.with Z1083),LRPS,1390.0,1.39,LRP004,895.0,4.325,2.935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-3,Salauddin School More(int.with Z1083)-Feni (Int.with N104),LRP004,895.0,4.325,LRP007,495.0,6.97,2.645,0.0,174.0,111.0,6.0,173.0,186.0,62.0,161.0,7465.0,431.0,225.0,12660.0,0.0,8769.0,12885.0,21654.0
Z1031,Z1031-4,Feni (Int.with N104)-Feni (Masterpara)(int.with Z1134),LRP007,495.0,6.97,LRP007,730.0,7.205,0.235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-5,Feni (Masterpara)(int.with Z1134)-Hospital More(int.with Z1083),LRP007,730.0,7.205,LRP009,976.0,9.458,2.253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-6,Hospital More(int.with Z1083)-Feni Polytechnic More (int.with Z1033),LRP009,976.0,9.458,LRP010,623.0,10.211,0.753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-7,Feni Polytechnic More (int.with Z1033)-Int.with Z1081,LRP010,623.0,10.211,LRP014,944.0,14.607,4.396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-8,Int.with Z1081-Chagalnaiya (Int.with Z1032),LRP014,944.0,14.607,LRP021,1126.0,21.269,6.662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-9,Chagalnaiya (Int.with Z1032)-Chagalnaiya(Int.with Z1035),LRP021,1126.0,21.269,LRP021,1693.0,21.836,0.567,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1031,Z1031-10,Chagalnaiya(Int.with Z1035)-Karerhat,LRP021,1693.0,21.836,LRPE,0.0,35.935,14.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1032,Z1032-1,Chhagalnaiya-Santirhat (Int.with Z1134),LRPS,0.0,0.0,LRP002,2976.0,4.994,4.994,0.0,66.0,182.0,6.0,2.0,71.0,8.0,18.0,2030.0,441.0,593.0,708.0,0.0,2824.0,1301.0,4125.0
Z1032,Z1032-2,Santirhat (Int.with Z1134)-Muhuriganj (Int.with N1),LRP002,2976.0,4.994,LRP011,148.0,11.233,6.239,0.0,66.0,182.0,6.0,2.0,71.0,8.0,18.0,2030.0,441.0,593.0,708.0,0.0,2824.0,1301.0,4125.0
Z1033,Z1033-1,Feni (Polytechnic More)-Fulgazi (Munshirhat) int.with Z1081,LRPS,0.0,0.0,LRP006,3208.0,9.282,9.282,0.0,128.0,261.0,0.0,138.0,297.0,35.0,80.0,2951.0,445.0,233.0,334.0,195.0,4335.0,762.0,5097.0
Z1033,Z1033-2,Fulgazi (Munshirhat) int.with Z1081-Parshuram (int.with Z1035),LRP006,3208.0,9.282,LRP019,2130.0,21.264,11.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1033,Z1033-3,Parshuram (int.with Z1035)-Bilionia,LRP019,2130.0,21.264,LRPE,0.0,25.648,4.384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1034,Z1034-1,Feni (Shahid Minar)-Int.with N1,LRPS,0.0,0.0,LRPS,2652.0,2.652,2.652,0.0,83.0,120.0,0.0,93.0,238.0,23.0,48.0,1098.0,381.0,180.0,231.0,0.0,2084.0,411.0,2495.0
Z1034,Z1034-2,Feni (Int.with N1)-Baktermunshi (Int.with Z1425),LRPS,2652.0,2.652,LRP012,859.0,12.642,9.99,0.0,101.0,211.0,0.0,112.0,359.0,12.0,57.0,2345.0,237.0,68.0,91.0,0.0,3434.0,159.0,3593.0
Z1034,Z1034-3,Baktermunshi (Int.with Z1425)-Sonagazi (int.with Z1434),LRP012,859.0,12.642,LRP018,1367.0,19.25,6.608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1034,Z1034-4,Sonagazi (int.with Z1434)-Muhuriganj Project,LRP018,1367.0,19.25,LRPE,0.0,29.806,10.556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1035,Z1035-1,Chhagalnaiya-Parshuram,LRPS,0.0,0.0,LRP022,11.0,21.655,21.655,1.0,54.0,163.0,0.0,0.0,197.0,0.0,0.0,2195.0,416.0,189.0,60.0,0.0,3026.0,249.0,3275.0
Z1036,Z1036-1,Hashimpur Rail Station-Int.with N1,LRPS,0.0,0.0,LRPS,960.0,0.96,0.96,0.0,36.0,53.0,0.0,9.0,18.0,17.0,11.0,991.0,344.0,329.0,345.0,0.0,1479.0,674.0,2153.0
Z1036,Z1036-2,Int.with N1-Boroma,LRPS,960.0,0.96,LRPE,0.0,8.814,7.854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1037,Z1037-1,Ghatiadanga-Monufakirhat,LRPS,0.0,0.0,LRPS,12240.0,12.24,12.24,0.0,130.0,197.0,0.0,0.0,201.0,18.0,69.0,1267.0,504.0,547.0,473.0,0.0,2386.0,1020.0,3406.0
Z1038,Z1038-1,Parsuram-Guthuma,LRPS,0.0,0.0,LRPS,3700.0,3.7,3.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z1039,Z1039-1,Patiya-(int.with Z1036),LRPS,0.0,0.0,LRPS,13362.0,13.362,13.362,0.0,0.0,47.0,0.0,0.0,34.0,0.0,35.0,1688.0,599.0,874.0,1506.0,0.0,2403.0,2380.0,4783.0
