,road,LRPName,condition,chainage,nrLanes,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
92,N1,LRP116a,B,115.052,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
93,N1,LRP116b,B,115.326,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
94,N1,LRP116c,B,115.525,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
95,N1,LRP117a,B,116.074,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
96,N1,LRP118a,B,117.087,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
97,N1,LRP118b,B,117.269,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
98,N1,LRP118d,A,117.627,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
99,N1,LRP119a,A,118.049,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
100,N1,LRP119b,B,118.856,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
101,N1,LRP120a,B,119.19,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
102,N1,LRP120b,A,119.628,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
103,N1,LRP121b,B,120.634,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
104,N1,LRP122a,A,121.567,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
105,N1,LRP123a,A,122.603,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
106,N1,LRP124a,C,123.681,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
107,N1,LRP125a,B,124.346,6.0,3.967592592592593,34.041666666666664,7.356481481481481,7.134259259259259,2.861111111111111,6.305555555555556,2.5787037037037037,5.078703703703704,7.819444444444444,3.134259259259259,0.3194444444444445,1.0925925925925928,0.0,80.27777777777779,1.4120370370370372,81.68981481481482
